1578277531.7232084,1,we won the football game,1
1578282766.8408074,0,we won the football game !,0
1578282804.9869165,0,his drive is terrible !,0
1578282827.0560272,0,i might have lost my wallet,0
1578282874.1019003,0,i am nervous as the presentation is approaching,0
1578282897.835291,1,we won the football game !,1
1578282915.8510768,1,his drive is terrible !,3
1578282938.575436,1,i might have lost my wallet,4
1578282958.424661,1,i am nervous as the presentation is approaching,1
1578282998.5583282,2,we won the football game !,1
1578283018.4356208,2,his drive is terrible !,2
1578283063.4242566,2,i might have lost my wallet,0
1578283095.42449,2,i am nervous as the presentation is approaching,1
1578289884.6299212,0,we won the football game !,0
1578289933.3685882,0,his drive is terrible !,0
1578289972.5485802,0,i might have lost my wallet,0
1578289995.73092,0,i am nervous as the presentation is approaching,0
1578290023.142583,1,we won the football game !,1
1578290048.268231,1,his drive is terrible !,3
1578290080.214114,1,i might have lost my wallet,4
1578290107.097801,1,i am nervous as the presentation is approaching,1
1578290217.7801495,2,we won the football game !,1
1578290274.8914132,2,his drive is terrible !,2
1578290306.1938949,2,i might have lost my wallet,3
1578290347.5552628,2,i am nervous as the presentation is approaching,0
1578291552.8693154,0,we won the football game !,0
1578291604.048408,0,his drive is terrible !,0
1578291626.502609,0,i might have lost my wallet,0
1578291653.2331505,0,i am nervous as the presentation is approaching,0
1578291706.5039852,1,we won the football game !,1
1578291729.0831,1,his drive is terrible !,3
1578291750.633625,1,i might have lost my wallet,4
1578291771.0511596,1,i am nervous as the presentation is approaching,1
1578291824.912732,2,we won the football game !,1
1578291864.201126,2,his drive is terrible !,3
1578291888.2788439,2,i might have lost my wallet,3
1578291914.2071009,2,i am nervous as the presentation is approaching,1
1578301841.4437296,0,we won the football game !,0
1578301862.1925356,0,his driving is terrible !,0
1578301879.9987912,0,his drive is terrible !,0
1578301907.8362522,0,i might have lost my wallet,0
1578301957.4323382,0,i am nervous as the presentation is approaching,0
1578301979.5815399,1,we won the football game !,1
1578301996.670732,1,his drive is terrible !,3
1578302015.9078467,1,i might have lost my wallet,4
1578302034.6177614,1,i am nervous as the presentation is approaching,1
1578302068.2947385,2,we won the football game !,1
1578302119.9780595,2,hhis drive is terrible !,2
1578302150.8440897,2,i might have lost my wallet,4
1578302253.0907226,2,i am nervous as the presentation is approaching,3
1578302524.7716258,0,we won the football game !,0
1578302552.684182,0,his drive is terrible !,0
1578302577.5814393,0,i might have lost my wallet,0
1578302605.199163,0,i am nervous as the presentation is approaching,0
1578302637.7234726,1,we won the football game !,1
1578302650.5736136,1,his drive is terrible !,3
1578302687.2021496,1,i might have lost my wallet,4
1578302713.6732237,1,i am nervous as the presentation is approaching,1
1578302762.9113562,2,we won the football game !,4
1578302850.8900192,2,his drive is terrible !,1
1578302894.0462205,2,i might have lost my wallet,1
1578302905.5747015,2,i might have lost my wallet,0
1578302922.5422723,2,i might have lost my wallet,4
1578302934.571597,2,i might have lost my wallet,2
1578302988.3877122,2,i am nervous as the presentation is approaching,3
1578364217.2901587,0,we won the football game !,0
1578364292.8328478,0,his drive is terrible,0
1578364337.6171143,0,i am nervous as the presentation is approaching,0
1578364378.0154276,0,i might have lost my wallet,0
1578364406.6741946,1,we won the football game,1
1578364440.4859672,1,his drive is terrible !,3
1578364481.5192797,1,i might have lost my wallet,4
1578364522.7057214,1,i am nervous as the presentation is approaching,1
1578364588.7618835,2,we won the football game,1
1578364620.946416,2,his drive is terrible,0
1578364667.1032684,2,i might have lost my wallet,4
1578364749.2571647,2,i am nervous as the presentation is approaching,0
